mirna	contrast	model	n_targets_total	n_targets_tested	n_targets_DE	n_targets_up	n_targets_down	fisher_odds_ratio	fisher_p_value	mean_target_logFC	median_target_logFC	inferred_activity	mirna_family	mirna_function	spaceflight_relevance	target_genes	de_target_genes	fisher_fdr
miR319	Flight_VEGGIE_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.16779950876521743	-0.1515748476627806	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Flight_VEGGIE_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.054680513141558335	0.1421583536472127	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Flight_VEGGIE_FLT_vs_GC	factorial	5	5	0	0	0	0.0	1.0	-0.006570579926946189	-0.0159537659996229	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Flight_VEGGIE_FLT_vs_GC	factorial	3	3	2	0	2	27.835873388042202	0.012898148046541342	-0.9840569671420721	-1.05516552555986	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990	AT2G40370;AT2G46570	1.0
miR398	Flight_VEGGIE_FLT_vs_GC	factorial	3	3	0	0	0	0.0	1.0	0.04889076616797299	-0.1779556193306	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Flight_VEGGIE_FLT_vs_GC	factorial	2	2	2	1	1	inf	0.004500497195439105	0.14335661228229502	0.14335661228229502	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230;AT2G44790	1.0
miR157	Flight_VEGGIE_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.022934231643783817	-0.07609031754897735	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	Flight_VEGGIE_FLT_vs_GC	factorial	2	2	0	0	0	0.0	1.0	-0.0371532040097961	-0.0371532040097961	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Flight_VEGGIE_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.3007061773828683	0.118154340316298	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	FLT_BRIC_vs_VEGGIE	factorial	8	8	1	0	1	0.39574116800372544	0.9150416816279008	-1.4473058593921655	-1.530663042690515	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT1G28550	1.0
miR159	FLT_BRIC_vs_VEGGIE	factorial	4	4	1	0	1	0.9235936188077246	0.7084908214916796	-1.9264428513212464	-0.755060913923851	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370	1.0
miR160	FLT_BRIC_vs_VEGGIE	factorial	3	3	0	0	0	0.0	1.0	-0.6402861538930833	-0.533892117532414	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	-0.8818091662120533	-0.7347299612934974	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	-0.7405686302733864	-0.18343446681945635	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	-0.7405686302733864	-0.18343446681945635	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	FLT_BRIC_vs_VEGGIE	factorial	3	3	1	0	1	1.385464513261224	0.6032669201584624	-1.0178517429470286	-1.05719340939648	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020	AT1G30330	1.0
miR169	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	0.21512536366937282	0.1140608296749162	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	FLT_BRIC_vs_VEGGIE	factorial	4	4	2	1	1	2.771339656194428	0.28759521615881045	0.2599764379850218	0.2004665723298335	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150;AT4G00150	1.0
miR172	FLT_BRIC_vs_VEGGIE	factorial	4	4	2	2	0	2.771339656194428	0.28759521615881045	1.2530525883186532	0.9421024164314595	DOWN (targets de-repressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	-0.2133976821328651	-0.0912561057920902	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	0.19102875276787482	0.15750847786524053	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	FLT_BRIC_vs_VEGGIE	factorial	5	5	0	0	0	0.0	1.0	-0.37432786456109757	-0.0768395835630309	UP (targets suppressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	FLT_BRIC_vs_VEGGIE	factorial	3	3	1	0	1	1.385464513261224	0.6032669201584624	-1.8778223262225942	-1.72826111143162	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990	AT2G40370	1.0
miR398	FLT_BRIC_vs_VEGGIE	factorial	3	3	0	0	0	0.0	1.0	0.2662666468407343	0.357667430973742	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	FLT_BRIC_vs_VEGGIE	factorial	2	2	1	0	1	2.7710771966217216	0.4600687869607521	-0.2446931996540751	-0.2446931996540751	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT2G44790	1.0
miR157	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	-0.7244962330459312	-0.72571828150758	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	FLT_BRIC_vs_VEGGIE	factorial	2	2	0	0	0	0.0	1.0	-0.335559250064629	-0.335559250064629	UP (targets suppressed)	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	FLT_BRIC_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	1.0401022709950702	0.680819570435074	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	FLT_BRIC_vs_CARA	factorial	8	8	3	0	3	0.9172927847346452	0.6750230755005651	-3.986581568596578	-4.4820990230945945	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT1G20980;AT1G53160;AT2G42200	1.0
miR159	FLT_BRIC_vs_CARA	factorial	4	4	2	0	2	1.5289675047202624	0.5169028486947603	-3.314295675596272	-3.5699390946594303	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370;AT2G42200	1.0
miR160	FLT_BRIC_vs_CARA	factorial	3	3	1	0	1	0.7644077901430842	0.7790489262158622	-1.2405294785413286	-1.3153074960533	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850	AT2G28350	1.0
miR164	FLT_BRIC_vs_CARA	factorial	4	4	2	0	2	1.5289675047202624	0.5169028486947603	-4.285750816918287	-5.137785267186585	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170	AT5G61430;AT3G15170	1.0
miR165	FLT_BRIC_vs_CARA	factorial	4	4	0	0	0	0.0	1.0	-2.1106575272610977	-1.498117257271975	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	FLT_BRIC_vs_CARA	factorial	4	4	0	0	0	0.0	1.0	-2.1106575272610977	-1.498117257271975	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	FLT_BRIC_vs_CARA	factorial	3	3	2	0	2	3.0581337573288283	0.34543280292767525	-3.8455004732877067	-3.41209300337827	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020	AT1G30330;AT5G37020	1.0
miR169	FLT_BRIC_vs_CARA	factorial	4	4	0	0	0	0.0	1.0	-1.552420645589498	-1.0452592077603007	UP (targets suppressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	FLT_BRIC_vs_CARA	factorial	4	4	1	1	0	0.5095720720720721	0.8664309520562294	0.660386475996587	-0.481438130976671	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	FLT_BRIC_vs_CARA	factorial	4	4	2	1	1	1.5289675047202624	0.5169028486947603	-0.831791058269595	-0.552440506741025	UP (targets suppressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	FLT_BRIC_vs_CARA	factorial	4	4	2	0	2	1.5289675047202624	0.5169028486947603	-3.7407952921456253	-2.276795750716575	UP (targets suppressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310	AT5G08310;AT1G53230	1.0
miR393	FLT_BRIC_vs_CARA	factorial	4	4	3	0	3	4.587656529516995	0.17396275716059037	-1.432343448340165	-1.676953405587845	UP (targets suppressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360	AT3G62980;AT2G39360;AT5G44750	1.0
miR396	FLT_BRIC_vs_CARA	factorial	5	5	0	0	0	0.0	1.0	-0.8005282927325114	-0.326549908533938	UP (targets suppressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	FLT_BRIC_vs_CARA	factorial	3	3	0	0	0	0.0	1.0	-1.110354688018308	0.694931245974442	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	FLT_BRIC_vs_CARA	factorial	3	3	0	0	0	0.0	1.0	0.34845529860602736	0.566768734402033	DOWN (targets de-repressed)	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	FLT_BRIC_vs_CARA	factorial	2	2	0	0	0	0.0	1.0	0.08960676496369513	0.08960676496369513	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	FLT_BRIC_vs_CARA	factorial	4	4	2	0	2	1.5289675047202624	0.5169028486947603	-3.9704234337389748	-3.73358975585424	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810	AT1G20980;AT2G42200	1.0
miR158	FLT_BRIC_vs_CARA	factorial	2	2	0	0	0	0.0	1.0	-0.2873111370838151	-0.2873111370838151	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	FLT_BRIC_vs_CARA	factorial	4	4	0	0	0	0.0	1.0	-0.11544915736144268	0.48400233747302	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	FLT_CARA_vs_VEGGIE	factorial	8	8	1	1	0	0.717905348262914	0.7658849161797245	2.5392757092044147	3.26524125417579	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT1G20980	1.0
miR159	FLT_CARA_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	1.3878528242750217	0.529614979190276	DOWN (targets de-repressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	FLT_CARA_vs_VEGGIE	factorial	3	3	0	0	0	0.0	1.0	0.6002433246482454	0.5318692075445	DOWN (targets de-repressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	FLT_CARA_vs_VEGGIE	factorial	4	4	2	2	0	5.027711984841307	0.1309407563936286	3.4039416507062357	4.010174354522281	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170	AT5G61430;AT3G15170	1.0
miR165	FLT_CARA_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	1.3700888969877114	1.3564580766805299	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	FLT_CARA_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	1.3700888969877114	1.3564580766805299	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	FLT_CARA_vs_VEGGIE	factorial	3	3	2	2	0	10.055897678825202	0.07346941523867043	2.8276487303406768	2.35489959398179	DOWN (targets de-repressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020	AT1G30330;AT5G37020	1.0
miR169	FLT_CARA_vs_VEGGIE	factorial	4	4	0	0	0	0.0	1.0	1.7675460092588688	1.361449105424125	DOWN (targets de-repressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	FLT_CARA_vs_VEGGIE	factorial	4	4	1	0	1	1.6754282105927856	0.516115326982088	-0.40041003801156605	0.09151886219042799	UP (targets suppressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	FLT_CARA_vs_VEGGIE	factorial	4	4	1	1	0	1.6754282105927856	0.516115326982088	2.084843646588247	0.6877544225300816	DOWN (targets de-repressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT5G67030	1.0
miR319	FLT_CARA_vs_VEGGIE	factorial	4	4	1	1	0	1.6754282105927856	0.516115326982088	3.5273976100127578	2.3175221251384297	DOWN (targets de-repressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310	AT1G53230	1.0
miR393	FLT_CARA_vs_VEGGIE	factorial	4	4	1	1	0	1.6754282105927856	0.516115326982088	1.623372201108039	1.254086057908675	DOWN (targets de-repressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360	AT5G44750	1.0
miR396	FLT_CARA_vs_VEGGIE	factorial	5	5	0	0	0	0.0	1.0	0.42620042817141385	1.10071597839865	DOWN (targets de-repressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	FLT_CARA_vs_VEGGIE	factorial	3	3	0	0	0	0.0	1.0	-0.7674676382042834	-1.11503734361365	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	FLT_CARA_vs_VEGGIE	factorial	3	3	0	0	0	0.0	1.0	-0.08218865176529301	-0.459364127692575	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	FLT_CARA_vs_VEGGIE	factorial	2	2	1	0	1	5.026758228747336	0.3043709279695389	-0.3342999646177698	-0.3342999646177698	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT2G44790	1.0
miR157	FLT_CARA_vs_VEGGIE	factorial	4	4	1	1	0	1.6754282105927856	0.516115326982088	3.2459272006930426	3.26524125417579	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810	AT1G20980	1.0
miR158	FLT_CARA_vs_VEGGIE	factorial	2	2	0	0	0	0.0	1.0	-0.048248112980814	-0.048248112980814	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	FLT_CARA_vs_VEGGIE	factorial	4	4	1	1	0	1.6754282105927856	0.516115326982088	1.1555514283565147	0.196817232962054	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890	AT1G80840	1.0
miR156	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	8	8	0	0	0	0.0	1.0	0.05628551601844608	0.0232905225538658	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	0.1076367807700942	0.1223121177134474	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.41764054177349563	-0.387629790885142	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.5591153257219356	-0.5839471588610881	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	1	0	1	5.590549348230913	0.20689626689951504	-0.5836433562745322	-0.17096134438238342	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR166	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	1	0	1	5.590549348230913	0.20689626689951504	-0.5836433562745322	-0.17096134438238342	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR167	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	3	3	0	0	0	0.0	1.0	0.17550593301223735	-0.112788018163032	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	0.22560037932658172	0.48442997137983	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.2880349537993129	-0.25393224724965	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.28969221422414065	-0.24242267980958	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	1	0	1	5.590549348230913	0.20689626689951504	-0.7485990548163525	-0.7768396745953721	UP (targets suppressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310	AT2G31070	1.0
miR393	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.07524584891783834	0.1114577681968843	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	CFDmodel_Flight_FLT_vs_GC	cfd_covariate	5	5	0	0	0	0.0	1.0	0.0164658252054514	0.0545840370120131	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
